Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,away_home_1_team_corners_against,away_home_1_team_corners_for,away_home_1_team_goals_against,away_home_1_team_goals_for,away_home_1_team_possession,away_home_1_team_shotsoff_against,away_home_1_team_shotsoff_for,away_home_1_team_shotson_against,away_home_1_team_shotson_for,away_home_3_team_corners_against,away_home_3_team_corners_for,away_home_3_team_goals_against,away_home_3_team_goals_for,away_home_3_team_possession,away_home_3_team_shotsoff_against,away_home_3_team_shotsoff_for,away_home_3_team_shotson_against,away_home_3_team_shotson_for,away_home_6_team_corners_against,away_home_6_team_corners_for,away_home_6_team_goals_against,away_home_6_team_goals_for,away_home_6_team_possession,away_home_6_team_shotsoff_against,away_home_6_team_shotsoff_for,away_home_6_team_shotson_against,away_home_6_team_shotson_for,home_away_1_team_corners_against,home_away_1_team_corners_for,home_away_1_team_goals_against,home_away_1_team_goals_for,home_away_1_team_possession,home_away_1_team_shotsoff_against,home_away_1_team_shotsoff_for,home_away_1_team_shotson_against,home_away_1_team_shotson_for,home_away_3_team_corners_against,home_away_3_team_corners_for,home_away_3_team_goals_against,home_away_3_team_goals_for,home_away_3_team_possession,home_away_3_team_shotsoff_against,home_away_3_team_shotsoff_for,home_away_3_team_shotson_against,home_away_3_team_shotson_for,home_away_6_team_corners_against,home_away_6_team_corners_for,home_away_6_team_goals_against,home_away_6_team_goals_for,home_away_6_team_possession,home_away_6_team_shotsoff_against,home_away_6_team_shotsoff_for,home_away_6_team_shotson_against,home_away_6_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for,IsTraining,BothToScore,GoalFirstHalf,SHHG,SHAG,GoalSecondHalf
E0,2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2.0,3.6,4.0,2.0,3.3,3.7,2.1,3.3,3.3,2.05,3.3,4.0,1.95,3.65,4.27,1.91,3.5,4.0,2.0,3.5,4.2,45,2.1,1.96,3.65,3.48,4.33,3.98,43,2.11,2.02,1.88,1.79,26,-0.5,1.98,1.93,1.99,1.92,1.82,3.88,4.7,3.0,6.0,1.0,6.0,63.0,4.0,3.0,4.0,9.0,15.0,22.0,4.0,9.0,158.75,17.0,16.0,11.0,20.0,27.0,43.0,10.0,13.0,293.5,29.0,35.0,24.0,37.0,,,,,,,,,,2.0,7.0,1.0,0.0,61.0,2.0,10.0,4.0,7.0,11.0,14.0,3.0,4.0,178.25,8.0,21.0,11.0,16.0,26.0,25.0,8.0,9.0,340.5,12.0,40.0,24.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0,1,True
E0,2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,1.36,5.0,11.0,1.4,4.75,9.0,1.33,4.8,8.3,1.4,4.5,10.0,1.39,4.92,10.39,1.4,4.0,10.0,1.4,5.0,9.5,45,1.43,1.37,5.0,4.66,11.26,9.57,43,1.88,1.8,2.07,1.99,27,-1.5,2.24,2.16,1.8,1.73,1.37,5.04,10.88,3.0,7.0,0.0,1.0,47.0,1.0,2.0,3.0,9.0,10.0,22.0,4.0,3.0,127.5,8.0,11.0,10.0,30.0,26.0,38.0,7.0,8.0,278.5,15.0,31.0,29.0,52.0,6.0,8.0,6.0,5.0,100.5,16.0,15.0,10.0,16.0,7.0,11.0,4.0,2.0,51.5,6.0,3.0,11.0,7.0,15.0,20.0,5.0,5.0,150.0,11.0,14.0,23.0,15.0,37.0,32.0,8.0,10.0,306.5,30.0,23.0,40.0,31.0,4.0,3.0,0.0,3.0,61.0,5.0,3.0,7.0,3.0,12.0,11.0,3.0,4.0,161.75,14.0,14.0,16.0,9.0,28.0,27.0,8.0,6.0,337.25,23.0,32.0,30.0,40.0,6.0,8.0,6.0,5.0,99.5,16.0,15.0,10.0,16.0,3.0,11.0,1.0,3.0,64.5,6.0,7.0,9.0,12.0,13.0,20.0,2.0,6.0,181.75,19.0,18.0,18.0,24.0,22.0,41.0,4.0,10.0,328.75,35.0,37.0,31.0,48.0,True,True,True,0,1,True
E0,2015-08-08,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,1.7,3.9,5.5,1.7,3.5,5.0,1.7,3.6,4.7,1.75,3.8,5.0,1.7,3.95,5.62,1.73,3.5,5.0,1.73,3.9,5.4,45,1.75,1.69,4.0,3.76,5.77,5.25,44,1.93,1.84,2.03,1.96,26,-1.0,2.28,2.18,1.76,1.71,1.75,3.76,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,2.0,1.0,57.0,9.0,5.0,8.0,7.0,17.0,15.0,5.0,5.0,148.5,14.0,14.0,20.0,13.0,35.0,29.0,7.0,10.0,313.5,21.0,37.0,35.0,28.0,,,,,,,,,,5.0,3.0,1.0,0.0,39.75,4.0,9.0,10.0,3.0,13.0,25.0,3.0,3.0,150.25,13.0,18.0,26.0,22.0,33.0,37.0,3.0,9.0,313.5,28.0,33.0,44.0,46.0,True,True,True,2,1,True
E0,2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,1.95,3.5,4.33,2.0,3.3,3.75,2.0,3.3,3.6,2.0,3.4,4.2,1.99,3.48,4.34,2.0,3.1,2.7,2.0,3.4,4.33,45,2.03,1.96,3.5,3.37,4.52,4.06,43,2.27,2.18,1.73,1.67,26,-0.5,2.0,1.95,1.96,1.9,1.79,3.74,5.1,3.0,11.0,1.0,3.0,35.5,6.0,7.0,9.0,12.0,6.0,31.0,3.0,3.0,90.5,13.0,26.0,17.0,43.0,19.0,58.0,4.0,8.0,197.0,26.0,49.0,29.0,76.0,18.0,14.0,0.0,0.0,111.25,8.0,13.0,12.0,13.0,9.0,8.0,0.0,0.0,54.5,5.0,4.0,4.0,7.0,14.0,16.0,5.0,3.0,151.75,10.0,14.0,15.0,16.0,25.0,37.0,9.0,5.0,313.5,21.0,34.0,26.0,36.0,9.0,8.0,0.0,0.0,45.5,5.0,4.0,4.0,7.0,19.0,18.0,4.0,3.0,145.58333333333334,11.0,6.0,12.0,22.0,33.0,36.0,11.0,10.0,241.58333333333334,26.0,27.0,26.0,42.0,18.0,14.0,0.0,0.0,88.75,8.0,13.0,12.0,13.0,6.0,5.0,1.0,5.0,43.75,8.0,9.0,6.0,3.0,20.0,11.0,4.0,8.0,115.25,19.0,18.0,16.0,8.0,36.0,34.0,5.0,16.0,256.75,37.0,46.0,36.0,26.0,True,True,True,1,2,True
E0,2015-08-08,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,1.65,4.0,6.0,1.65,4.0,5.5,1.65,3.6,5.1,1.67,4.0,5.5,1.65,4.09,5.9,1.62,3.6,6.0,1.67,4.0,5.75,42,1.71,1.63,4.2,3.9,6.5,5.65,40,1.86,1.79,2.13,2.01,26,-1.0,2.2,2.09,1.82,1.78,1.64,4.07,6.04,5.0,3.0,1.0,0.0,60.25,4.0,9.0,10.0,3.0,16.0,13.0,5.0,3.0,178.5,11.0,15.0,23.0,21.0,24.0,30.0,7.0,8.0,343.75,23.0,30.0,33.0,36.0,8.0,7.0,1.0,3.0,89.75,5.0,9.0,9.0,9.0,8.0,6.0,0.0,2.0,58.0,8.0,7.0,4.0,2.0,21.0,23.0,2.0,2.0,171.0,20.0,25.0,16.0,17.0,38.0,40.0,10.0,12.0,366.75,30.0,45.0,29.0,40.0,1.0,8.0,0.0,2.0,62.0,3.0,5.0,4.0,8.0,14.0,22.0,2.0,6.0,190.5,12.0,10.0,23.0,18.0,25.0,31.0,6.0,8.0,388.0,27.0,19.0,36.0,26.0,8.0,7.0,1.0,3.0,110.25,5.0,9.0,9.0,9.0,5.0,5.0,0.0,2.0,60.25,2.0,6.0,4.0,7.0,13.0,15.0,3.0,7.0,192.0,8.0,13.0,11.0,28.0,18.0,41.0,4.0,16.0,392.0,14.0,37.0,17.0,49.0,True,False,True,0,0,False
E0,2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,2.55,3.3,3.0,2.6,3.2,2.7,2.4,3.2,2.85,2.62,3.2,2.9,2.52,3.35,3.08,2.6,3.1,2.88,2.6,3.25,3.0,45,2.63,2.53,3.42,3.21,3.11,2.92,43,2.25,2.18,1.75,1.67,27,0.0,1.83,1.78,2.17,2.08,2.46,3.39,3.14,5.0,4.0,4.0,1.0,35.25,7.0,8.0,5.0,8.0,15.0,14.0,8.0,4.0,120.0,10.0,23.0,17.0,19.0,28.0,43.0,13.0,7.0,234.25,22.0,52.0,31.0,37.0,,,,,,,,,,3.0,7.0,0.0,1.0,53.0,1.0,2.0,3.0,9.0,18.0,14.0,4.0,3.0,131.75,17.0,10.0,17.0,18.0,40.0,31.0,8.0,8.0,275.5,36.0,29.0,33.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,1,2,True
E0,2015-09-08,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,1.29,6.0,12.0,1.28,5.75,10.5,1.33,4.8,8.3,1.29,5.5,12.0,1.31,5.75,12.0,1.3,5.0,11.0,1.3,5.75,12.0,45,1.33,1.29,6.16,5.53,12.0,10.75,39,1.71,1.64,2.3,2.22,27,-1.5,1.96,1.89,2.06,1.96,1.24,6.75,15.0,7.0,5.0,3.0,0.0,31.5,4.0,6.0,4.0,5.0,14.0,12.0,5.0,2.0,132.75,9.0,24.0,10.0,24.0,29.0,26.0,6.0,6.0,253.5,20.0,45.0,23.0,50.0,17.0,19.0,4.0,5.0,124.75,12.0,19.0,21.0,30.0,4.0,5.0,4.0,3.0,46.75,6.0,2.0,4.0,5.0,16.0,20.0,8.0,5.0,156.41666666666669,19.0,11.0,17.0,18.0,33.0,43.0,9.0,8.0,308.1666666666667,35.0,28.0,35.0,47.0,9.0,0.0,0.0,1.0,74.25,6.0,1.0,16.0,0.0,20.0,11.0,1.0,5.0,178.5,12.0,10.0,34.0,13.0,35.0,21.0,7.0,7.0,369.5,30.0,23.0,59.0,29.0,17.0,19.0,4.0,5.0,175.25,12.0,19.0,21.0,30.0,8.0,7.0,0.0,1.0,65.75,7.0,7.0,8.0,10.0,15.0,19.0,3.0,5.0,190.0,17.0,23.0,20.0,36.0,20.0,36.0,4.0,5.0,387.25,26.0,44.0,32.0,77.0,True,False,True,0,1,True
E0,2015-09-08,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,2.88,3.3,2.7,2.8,3.1,2.75,2.65,3.3,2.5,2.88,3.3,2.6,2.88,3.33,2.69,2.7,3.1,2.7,2.88,3.25,2.7,45,2.88,2.79,3.47,3.23,2.76,2.63,43,2.23,2.14,1.8,1.7,27,0.0,2.06,1.98,1.92,1.87,3.09,3.28,2.55,2.0,5.0,0.0,0.0,49.25,8.0,6.0,7.0,6.0,12.0,19.0,2.0,4.0,133.75,22.0,17.0,20.0,17.0,26.0,26.0,4.0,10.0,308.5,34.0,32.0,36.0,30.0,11.0,20.0,4.0,7.0,141.5,14.0,15.0,10.0,11.0,4.0,6.0,0.0,3.0,58.25,4.0,12.0,3.0,10.0,16.0,21.0,4.0,9.0,149.0,10.0,21.0,12.0,28.0,29.0,41.0,7.0,14.0,300.5,27.0,39.0,27.0,45.0,5.0,11.0,0.0,0.0,35.0,3.0,4.0,3.0,16.0,21.0,18.0,1.0,4.0,125.75,11.0,14.0,22.0,28.0,38.0,42.0,1.0,10.0,261.0,31.0,35.0,35.0,54.0,11.0,20.0,4.0,7.0,158.5,14.0,15.0,10.0,11.0,9.0,0.0,0.0,1.0,25.75,6.0,1.0,16.0,0.0,18.0,8.0,2.0,5.0,122.5,17.0,14.0,22.0,8.0,29.0,28.0,9.0,9.0,270.0,28.0,30.0,35.0,21.0,True,True,True,1,1,True
E0,2015-09-08,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,3.4,3.4,2.3,3.2,3.4,2.3,2.9,3.3,2.3,3.4,3.3,2.3,3.48,3.46,2.25,3.3,3.1,2.3,3.4,3.4,2.3,45,3.51,3.33,3.51,3.33,2.35,2.24,43,2.15,2.06,1.82,1.75,26,0.25,2.0,1.95,1.96,1.91,3.89,3.51,2.09,8.0,7.0,0.0,1.0,34.25,7.0,7.0,8.0,10.0,22.0,13.0,2.0,7.0,142.5,16.0,13.0,24.0,20.0,37.0,28.0,3.0,9.0,333.0,37.0,22.0,54.0,33.0,19.0,11.0,2.0,7.0,155.75,15.0,14.0,26.0,17.0,7.0,5.0,3.0,0.0,68.5,4.0,6.0,4.0,5.0,20.0,15.0,8.0,2.0,187.5,18.0,27.0,14.0,17.0,35.0,32.0,12.0,8.0,350.5833333333333,32.0,45.0,24.0,38.0,0.0,9.0,1.0,1.0,56.25,5.0,10.0,2.0,10.0,9.0,20.0,3.0,3.0,150.25,16.0,14.0,14.0,26.0,21.0,39.0,5.0,8.0,307.0,31.0,30.0,30.0,49.0,19.0,11.0,2.0,7.0,144.25,15.0,14.0,26.0,17.0,5.0,6.0,1.0,0.0,59.5,7.0,6.0,8.0,7.0,19.0,12.0,3.0,6.0,151.25,16.0,12.0,24.0,17.0,40.0,29.0,6.0,11.0,315.25,29.0,31.0,44.0,46.0,True,False,False,0,1,True
E0,2015-10-08,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,5.75,4.0,1.67,4.75,4.0,1.65,5.1,3.6,1.65,5.5,3.75,1.67,5.75,3.98,1.68,5.5,3.5,1.7,5.5,4.0,1.7,41,6.5,5.46,4.1,3.85,1.72,1.66,40,1.84,1.77,2.15,2.04,26,1.0,1.78,1.74,2.24,2.14,6.46,4.08,1.61,9.0,5.0,1.0,4.0,47.75,8.0,3.0,15.0,7.0,20.0,17.0,4.0,5.0,160.75,22.0,18.0,36.0,15.0,40.0,42.0,12.0,7.0,326.75,36.0,33.0,67.0,37.0,14.0,25.0,6.0,4.0,204.25,10.0,28.0,13.0,34.0,3.0,6.0,1.0,6.0,59.5,1.0,7.0,4.0,11.0,9.0,31.0,3.0,9.0,188.5,6.0,25.0,10.0,33.0,18.0,51.0,4.0,20.0,358.0,20.0,46.0,29.0,58.0,3.0,8.0,0.0,2.0,39.75,2.0,4.0,4.0,15.0,15.0,16.0,2.0,2.0,125.0,12.0,15.0,19.0,31.0,24.0,32.0,4.0,7.0,230.75,27.0,39.0,30.0,57.0,14.0,25.0,6.0,4.0,95.75,10.0,28.0,13.0,34.0,4.0,6.0,3.0,2.0,49.25,4.0,4.0,5.0,3.0,16.0,18.0,6.0,5.0,125.25,14.0,15.0,17.0,11.0,30.0,29.0,9.0,8.0,214.25,32.0,27.0,48.0,23.0,True,False,True,0,1,True
