AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,IsTraining,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,VCA,VCD,VCH,WHA,WHD,WHH,away_team_corners_against,away_team_corners_for,away_team_goals_against,away_team_goals_for,away_team_shotsoff_against,away_team_shotsoff_for,away_team_shotson_against,away_team_shotson_for,home_team_corners_against,home_team_corners_for,home_team_goals_against,home_team_goals_for,home_team_shotsoff_against,home_team_shotsoff_for,home_team_shotson_against,home_team_shotson_for,league_id
4,14,0,17,9,2,Swansea,3.25,3.3,2.4,2.95,3.1,2.45,55,32,-0.25,1.61,2.3,3.1,1.81,2.06,3.21,2.43,1.68,2.4,3.3,1.86,2.13,3.35,2.55,40,8/13/2016,E0,1,0,A,7,10,0,10,3,0,0,D,3,Burnley,2.65,3.3,2.5,TRUE,3.1,3.25,2.45,3.19,2.89,3.16,2.79,3.32,2.47,J Moss,3.25,3.2,2.5,2.9,3.2,2.5,56,42,14,16,61,49,61,49,69,40,6,5,87,53,87,53,E0
6,15,0,13,3,2,West Brom,4.5,3.3,2,3.9,3.2,2,56,33,-0.5,1.52,2.5,4.16,1.85,2,3.23,2.01,1.6,2.68,4.5,1.9,2.07,3.4,2.1,38,8/13/2016,E0,1,0,A,3,12,0,14,4,0,0,D,2,Crystal Palace,3.3,3.3,2.1,TRUE,4.33,3.25,2,4.32,3.86,3.15,2.25,3.29,2.06,C Pawson,4.4,3.3,2,4,3.1,2.05,55,59,11,9,51,45,51,45,57,65,13,10,67,56,67,56,E0
6,14,0,13,4,0,Tottenham,2.4,3.4,3.2,2.4,3.2,2.95,55,32,0.25,1.77,2.05,2.36,2,1.85,3.32,3.12,1.87,2.12,2.5,2.09,1.91,3.45,3.3,41,8/13/2016,E0,1,1,D,5,10,0,12,6,0,1,H,0,Everton,2.5,3.3,2.65,TRUE,2.4,3.4,3.1,2.37,2.16,3.54,3.64,3.43,3.25,M Atkinson,2.38,3.4,3.25,2.4,3.1,3.1,55,70,14,19,51,76,51,76,79,45,17,8,84,57,84,57,E0
3,17,0,18,5,2,Leicester,1.91,3.6,4.5,1.9,3.4,4.33,55,31,0.25,1.67,2.19,1.95,1.67,2.26,3.43,4.17,1.74,2.3,2.33,2.03,2.35,3.6,4.5,40,8/13/2016,E0,1,2,H,5,8,0,14,5,0,1,H,2,Hull,2.1,3.3,3.3,TRUE,1.91,3.5,4.5,1.95,1.92,3.5,4.68,3.55,4.43,M Dean,1.95,3.5,4.4,1.95,3.25,4.2,54,64,5,18,69,64,69,64,41,64,15,9,57,66,57,66,E0
6,14,0,7,3,2,Sunderland,15,6.5,1.25,11.5,6,1.22,56,34,-1.5,2.48,1.53,12.55,2.14,1.73,6.11,1.25,2.67,1.56,15,2.2,1.81,6.8,1.3,39,8/13/2016,E0,1,2,H,9,11,0,16,4,0,1,H,1,Man City,10.3,5.5,1.25,TRUE,13,6.5,1.25,13.15,14.5,6.5,1.25,6.48,1.27,R Madley,15,6.5,1.25,13,5.5,1.25,62,44,9,14,77,50,77,50,52,60,10,24,32,48,32,48,E0
6,14,0,12,1,5,Stoke,3.4,3.2,2.38,3.25,3.1,2.25,56,32,-0.25,1.53,2.46,3.38,1.92,1.93,3.16,2.31,1.57,2.61,3.65,1.97,1.99,3.3,2.4,38,8/13/2016,E0,1,1,D,9,18,0,12,2,0,1,H,3,Middlesbrough,2.9,3.3,2.3,TRUE,3.4,3.2,2.3,3.53,3.7,3.38,2.2,3.24,2.33,K Friend,3.4,3.2,2.38,3.1,3.1,2.4,66,33,22,12,60,41,60,41,0,0,0,0,0,0,0,0,E0
2,12,1,5,1,2,Watford,5,3.75,1.8,4.5,3.4,1.8,56,33,-0.75,1.75,2.06,4.62,1.8,2.07,3.56,1.82,1.83,2.13,5,1.89,2.16,3.8,1.88,42,8/13/2016,E0,1,1,D,6,8,0,24,6,1,0,A,1,Southampton,4.2,3.5,1.8,TRUE,5,3.6,1.8,4.64,4.91,3.83,1.8,3.68,1.88,R East,5,3.6,1.83,4.5,3.4,1.83,58,51,22,13,62,52,62,52,43,71,14,26,60,51,60,51,E0
4,17,0,16,7,3,Liverpool,3.1,3.5,2.4,2.9,3.3,2.35,55,31,-0.5,1.99,1.81,3.04,1.64,2.31,3.42,2.36,2.09,1.98,3.2,1.81,2.41,3.55,2.5,42,8/14/2016,E0,4,3,A,5,13,0,9,5,1,1,D,3,Arsenal,2.9,3.3,2.3,TRUE,3.1,3.4,2.38,3.1,2.68,3.44,2.8,3.53,2.41,M Oliver,3.1,3.5,2.4,3,3.1,2.5,47,68,15,22,52,98,52,98,58,52,10,20,53,68,53,68,E0
2,10,0,11,7,1,Man United,1.85,3.6,4.75,1.75,3.5,4.6,55,33,0.75,1.76,2.05,1.86,2.11,1.76,3.51,4.5,1.87,2.11,1.95,2.17,1.8,3.75,5,42,8/14/2016,E0,3,1,A,4,7,0,9,3,1,0,A,0,Bournemouth,1.75,3.5,4.5,TRUE,1.8,3.6,4.8,1.88,1.78,3.65,5.4,3.62,4.7,A Marriner,1.87,3.6,4.75,1.85,3.4,4.5,40,67,9,12,54,63,54,63,43,52,26,11,46,57,46,57,E0
1,16,0,7,3,2,West Ham,6,4,1.65,5.5,3.75,1.6,52,33,-1,2.01,1.8,5.46,1.76,2.1,3.97,1.64,2.09,1.97,6,1.8,2.2,4.25,1.71,40,8/15/2016,E0,1,2,H,7,16,0,16,6,0,0,D,5,Chelsea,5.1,3.6,1.65,TRUE,6,4,1.62,5.48,7.45,4.38,1.52,4.16,1.68,A Taylor,5.75,4.1,1.65,5.5,3.6,1.67,47,70,23,23,44,73,44,73,58,67,15,17,82,69,82,69,E0
