AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,IsTraining,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,VCA,VCD,VCH,WHA,WHD,WHH,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for
4.0,14.0,0.0,17.0,9.0,2.0,Swansea,3.25,3.3,2.4,2.95,3.1,2.45,55.0,32.0,-0.25,1.61,2.3,3.1,1.81,2.06,3.21,2.43,1.68,2.4,3.3,1.86,2.13,3.35,2.55,40.0,2016-08-13,E0,1.0,0.0,A,7.0,10.0,0.0,10.0,3.0,0.0,0.0,D,3.0,Burnley,2.65,3.3,2.5,True,3.1,3.25,2.45,3.19,2.89,3.16,2.79,3.32,2.47,J Moss,3.25,3.2,2.5,2.9,3.2,2.5,3.0,13.0,5.0,0.0,38.75,5.0,12.0,6.0,12.0,5.333333333333333,6.666666666666668,1.6666666666666667,2.333333333333333,51.99074074074074,5.333333333333333,7.666666666666668,5.0,8.0,4.5,6.166666666666668,1.8333333333333333,2.1666666666666665,50.47222222222222,5.333333333333333,7.0,4.166666666666667,7.0,3.5,4.0,0.0,1.0,57.5,5.5,2.5,5.0,6.5,3.5,4.0,0.0,1.0,42.5,5.5,2.5,5.0,6.5,6.0,7.0,0.0,0.0,43.5,5.0,1.0,5.0,6.0,5.333333333333333,4.666666666666667,0.6666666666666666,0.3333333333333333,42.41666666666666,4.666666666666667,1.0,6.0,7.666666666666668,4.833333333333333,4.5,0.3333333333333333,0.5,40.833333333333336,5.833333333333332,2.6666666666666665,6.333333333333332,6.833333333333332
6.0,15.0,0.0,13.0,3.0,2.0,West Brom,4.5,3.3,2.0,3.9,3.2,2.0,56.0,33.0,-0.5,1.52,2.5,4.16,1.85,2.0,3.23,2.01,1.6,2.68,4.5,1.9,2.07,3.4,2.1,38.0,2016-08-13,E0,1.0,0.0,A,3.0,12.0,0.0,14.0,4.0,0.0,0.0,D,2.0,Crystal Palace,3.3,3.3,2.1,True,4.33,3.25,2.0,4.32,3.86,3.15,2.25,3.29,2.06,C Pawson,4.4,3.3,2.0,4.0,3.1,2.05,3.0,5.0,2.0,1.0,36.4,5.0,4.0,4.0,6.0,5.333333333333333,5.333333333333333,1.3333333333333333,1.0,31.66666666666667,6.333333333333332,8.0,4.0,6.666666666666668,5.0,7.333333333333332,1.1666666666666667,1.1666666666666667,36.732943469785575,5.0,7.833333333333332,2.6666666666666665,7.5,4.5,6.0,1.5,1.75,47.25,3.5,7.0,4.5,7.75,4.5,6.0,1.5,1.75,52.75,3.5,7.0,4.5,7.75,3.0,4.0,1.0,2.0,59.5,8.0,6.0,3.0,6.0,4.666666666666667,8.0,0.3333333333333333,1.0,55.55263157894736,5.333333333333333,6.333333333333332,5.333333333333333,7.0,5.0,8.0,1.0,0.8333333333333334,50.697612085769975,4.833333333333333,6.0,5.333333333333333,7.333333333333332
6.0,14.0,0.0,13.0,4.0,0.0,Tottenham,2.4,3.4,3.2,2.4,3.2,2.95,55.0,32.0,0.25,1.77,2.05,2.36,2.0,1.85,3.32,3.12,1.87,2.12,2.5,2.09,1.91,3.45,3.3,41.0,2016-08-13,E0,1.0,1.0,D,5.0,10.0,0.0,12.0,6.0,0.0,1.0,H,0.0,Everton,2.5,3.3,2.65,True,2.4,3.4,3.1,2.37,2.16,3.54,3.64,3.43,3.25,M Atkinson,2.38,3.4,3.25,2.4,3.1,3.1,8.0,3.0,1.0,5.0,59.94736842105264,8.0,4.0,8.0,11.0,6.333333333333332,5.0,2.333333333333333,2.333333333333333,52.79727095516569,9.333333333333334,6.666666666666668,6.333333333333332,6.333333333333332,6.5,6.333333333333332,1.6666666666666667,1.5,56.58845029239765,8.5,5.833333333333332,6.166666666666668,7.0,3.75,4.0,0.75,0.75,53.125,4.5,6.25,7.75,7.25,3.75,4.0,0.75,0.75,46.875,4.5,6.25,7.75,7.25,11.0,4.0,0.0,3.0,48.6,5.0,4.0,4.0,9.0,8.666666666666666,3.333333333333333,0.6666666666666666,2.0,52.9,7.666666666666668,3.333333333333333,5.0,5.666666666666668,6.333333333333332,6.666666666666668,1.3333333333333333,1.5,54.763596491228064,6.5,4.666666666666667,4.833333333333333,8.166666666666666
3.0,17.0,0.0,18.0,5.0,2.0,Leicester,1.91,3.6,4.5,1.9,3.4,4.33,55.0,31.0,0.25,1.67,2.19,1.95,1.67,2.26,3.43,4.17,1.74,2.3,2.33,2.03,2.35,3.6,4.5,40.0,2016-08-13,E0,1.0,2.0,H,5.0,8.0,0.0,14.0,5.0,0.0,1.0,H,2.0,Hull,2.1,3.3,3.3,True,1.91,3.5,4.5,1.95,1.92,3.5,4.68,3.55,4.43,M Dean,1.95,3.5,4.4,1.95,3.25,4.2,6.0,7.0,1.0,1.0,42.6,8.0,6.0,10.0,11.0,6.0,4.666666666666667,1.3333333333333333,0.6666666666666666,40.42807017543859,8.333333333333334,7.666666666666668,7.333333333333332,11.0,5.666666666666668,6.333333333333332,1.1666666666666667,0.6666666666666666,42.20940545808967,6.333333333333332,8.0,5.833333333333332,9.666666666666666,3.0,7.0,0.5,0.0,46.54166666666667,3.0,7.5,3.5,9.5,3.0,7.0,0.5,0.0,53.45833333333333,3.0,7.5,3.5,9.5,1.0,8.0,0.0,2.0,38.0,3.0,5.0,4.0,8.0,3.0,5.666666666666668,1.3333333333333333,1.0,39.5,5.0,5.333333333333333,6.333333333333332,7.666666666666668,4.333333333333333,6.0,1.3333333333333333,1.1666666666666667,39.833333333333336,3.6666666666666665,5.333333333333333,6.333333333333332,7.333333333333332
6.0,14.0,0.0,7.0,3.0,2.0,Sunderland,15.0,6.5,1.25,11.5,6.0,1.22,56.0,34.0,-1.5,2.48,1.53,12.55,2.14,1.73,6.11,1.25,2.67,1.56,15.0,2.2,1.81,6.8,1.3,39.0,2016-08-13,E0,1.0,2.0,H,9.0,11.0,0.0,16.0,4.0,0.0,1.0,H,1.0,Man City,10.3,5.5,1.25,True,13.0,6.5,1.25,13.15,14.5,6.5,1.25,6.48,1.27,R Madley,15.0,6.5,1.25,13.0,5.5,1.25,4.0,7.0,2.0,2.0,54.45,2.0,10.0,2.0,6.0,4.0,7.666666666666668,2.0,1.0,50.577777777777776,4.0,8.0,2.6666666666666665,6.666666666666668,4.166666666666667,7.0,1.3333333333333333,1.0,46.51574074074074,5.166666666666667,6.5,3.6666666666666665,6.666666666666668,2.25,6.25,2.0,2.25,37.5,4.75,5.25,2.25,9.75,2.25,6.25,2.0,2.25,62.5,4.75,5.25,2.25,9.75,2.0,7.0,2.0,2.0,63.0,2.0,10.0,1.0,2.0,4.666666666666667,8.0,1.0,2.6666666666666665,61.4359649122807,5.666666666666668,6.333333333333332,2.333333333333333,3.6666666666666665,3.5,8.5,1.0,2.333333333333333,58.77816764132554,3.333333333333333,8.5,2.333333333333333,5.0
6.0,14.0,0.0,12.0,1.0,5.0,Stoke,3.4,3.2,2.38,3.25,3.1,2.25,56.0,32.0,-0.25,1.53,2.46,3.38,1.92,1.93,3.16,2.31,1.57,2.61,3.65,1.97,1.99,3.3,2.4,38.0,2016-08-13,E0,1.0,1.0,D,9.0,18.0,0.0,12.0,2.0,0.0,1.0,H,3.0,Middlesbrough,2.9,3.3,2.3,True,3.4,3.2,2.3,3.53,3.7,3.38,2.2,3.24,2.33,K Friend,3.4,3.2,2.38,3.1,3.1,2.4,3.0,4.0,1.0,2.0,40.5,8.0,6.0,3.0,6.0,3.333333333333333,6.333333333333332,1.0,3.333333333333333,42.28333333333333,8.666666666666666,5.0,2.6666666666666665,5.0,3.0,7.5,1.5,2.1666666666666665,43.80833333333334,6.0,5.5,4.166666666666667,5.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,12.0,1.0,5.0,1.0,2.0,Watford,5.0,3.75,1.8,4.5,3.4,1.8,56.0,33.0,-0.75,1.75,2.06,4.62,1.8,2.07,3.56,1.82,1.83,2.13,5.0,1.89,2.16,3.8,1.88,42.0,2016-08-13,E0,1.0,1.0,D,6.0,8.0,0.0,24.0,6.0,1.0,0.0,A,1.0,Southampton,4.2,3.5,1.8,True,5.0,3.6,1.8,4.64,4.91,3.83,1.8,3.68,1.88,R East,5.0,3.6,1.83,4.5,3.4,1.83,8.0,8.0,0.0,2.0,29.6,10.0,7.0,3.0,9.0,3.6666666666666665,5.666666666666668,1.6666666666666667,2.6666666666666665,40.65000000000001,4.666666666666667,6.666666666666668,4.666666666666667,8.333333333333334,4.0,7.166666666666668,1.0,2.5,38.53796296296297,5.166666666666667,6.166666666666668,4.5,8.0,1.5,6.5,0.0,1.0,51.5,4.5,6.5,5.5,6.0,1.5,6.5,0.0,1.0,48.5,4.5,6.5,5.5,6.0,5.0,2.0,1.0,4.0,51.9,3.0,13.0,5.0,4.0,3.0,7.0,1.3333333333333333,3.6666666666666665,50.0699805068226,2.333333333333333,10.0,4.0,5.0,4.0,7.166666666666668,1.6666666666666667,2.833333333333333,49.10443469785574,4.5,8.166666666666666,5.333333333333333,5.333333333333333
4.0,17.0,0.0,16.0,7.0,3.0,Liverpool,3.1,3.5,2.4,2.9,3.3,2.35,55.0,31.0,-0.5,1.99,1.81,3.04,1.64,2.31,3.42,2.36,2.09,1.98,3.2,1.81,2.41,3.55,2.5,42.0,2016-08-14,E0,4.0,3.0,A,5.0,13.0,0.0,9.0,5.0,1.0,1.0,D,3.0,Arsenal,2.9,3.3,2.3,True,3.1,3.4,2.38,3.1,2.68,3.44,2.8,3.53,2.41,M Oliver,3.1,3.5,2.4,3.0,3.1,2.5,5.0,7.0,1.0,1.0,65.6,3.0,8.0,3.0,5.0,5.333333333333333,5.333333333333333,1.3333333333333333,1.6666666666666667,54.103508771929825,5.666666666666668,6.0,5.666666666666668,8.333333333333334,5.666666666666668,4.166666666666667,2.5,1.6666666666666667,56.39897660818714,4.5,5.666666666666668,6.666666666666668,6.666666666666668,5.5,8.0,1.5,2.5,50.625,5.75,8.75,5.0,9.75,5.5,8.0,1.5,2.5,49.375,5.75,8.75,5.0,9.75,4.0,5.0,1.0,3.0,62.57894736842106,0.0,8.0,4.0,7.0,4.0,7.333333333333332,0.6666666666666666,1.6666666666666667,68.15409356725145,3.0,7.666666666666668,4.0,7.666666666666668,4.0,6.5,0.6666666666666666,2.0,67.67797270955165,3.8333333333333335,7.333333333333332,3.1666666666666665,8.166666666666666
2.0,10.0,0.0,11.0,7.0,1.0,Man United,1.85,3.6,4.75,1.75,3.5,4.6,55.0,33.0,0.75,1.76,2.05,1.86,2.11,1.76,3.51,4.5,1.87,2.11,1.95,2.17,1.8,3.75,5.0,42.0,2016-08-14,E0,3.0,1.0,A,4.0,7.0,0.0,9.0,3.0,1.0,0.0,A,0.0,Bournemouth,1.75,3.5,4.5,True,1.8,3.6,4.8,1.88,1.78,3.65,5.4,3.62,4.7,A Marriner,1.87,3.6,4.75,1.85,3.4,4.5,2.0,6.0,2.0,3.0,55.0,1.0,13.0,1.0,6.0,5.0,3.0,1.0,2.0,60.02380952380952,4.333333333333333,7.666666666666668,3.6666666666666665,6.333333333333332,5.5,5.0,1.0,1.3333333333333333,59.16005291005291,3.1666666666666665,9.166666666666666,4.666666666666667,6.833333333333332,4.0,6.0,0.5,3.0,63.55,2.5,5.5,5.5,4.5,4.0,6.0,0.5,3.0,36.45,2.5,5.5,5.5,4.5,3.0,5.0,2.0,1.0,63.6,5.0,4.0,4.0,6.0,4.666666666666667,6.666666666666668,2.6666666666666665,1.0,54.59473684210528,7.333333333333332,4.666666666666667,5.666666666666668,7.333333333333332,3.8333333333333335,6.5,2.333333333333333,1.3333333333333333,49.14459064327485,6.5,4.333333333333333,4.333333333333333,6.166666666666668
1.0,16.0,0.0,7.0,3.0,2.0,West Ham,6.0,4.0,1.65,5.5,3.75,1.6,52.0,33.0,-1.0,2.01,1.8,5.46,1.76,2.1,3.97,1.64,2.09,1.97,6.0,1.8,2.2,4.25,1.71,40.0,2016-08-15,E0,1.0,2.0,H,7.0,16.0,0.0,16.0,6.0,0.0,0.0,D,5.0,Chelsea,5.1,3.6,1.65,True,6.0,4.0,1.62,5.48,7.45,4.38,1.52,4.16,1.68,A Taylor,5.75,4.1,1.65,5.5,3.6,1.67,10.0,4.0,1.0,2.0,61.19047619047619,7.0,2.0,10.0,3.0,7.0,4.0,2.0,1.3333333333333333,54.577527151211356,7.0,4.333333333333333,5.0,3.333333333333333,6.5,5.666666666666668,2.1666666666666665,1.8333333333333333,52.147096908939005,6.5,6.0,5.666666666666668,4.833333333333333,5.75,7.5,1.25,1.5,39.475,4.75,9.5,4.25,8.75,5.75,7.5,1.25,1.5,60.525,4.75,9.5,4.25,8.75,6.0,7.0,1.0,1.0,57.4,8.0,6.0,10.0,11.0,5.666666666666668,8.333333333333334,2.0,1.0,52.68888888888889,6.0,6.333333333333332,7.333333333333332,7.666666666666668,5.833333333333332,8.5,1.6666666666666667,1.8333333333333333,51.65277777777778,5.5,7.666666666666668,6.833333333333332,8.0
