FTR,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,,Date,Div,FTAG,FTHG,,GoalFirstHalf,GoalSecondHalf,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,IsTraining,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,SHAG,SHHG,VCA,VCD,VCH,WHA,WHD,WHH,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,away_home_1_team_corners_against,away_home_1_team_corners_for,away_home_1_team_goals_against,away_home_1_team_goals_for,away_home_1_team_possession,away_home_1_team_shotsoff_against,away_home_1_team_shotsoff_for,away_home_1_team_shotson_against,away_home_1_team_shotson_for,away_home_3_team_corners_against,away_home_3_team_corners_for,away_home_3_team_goals_against,away_home_3_team_goals_for,away_home_3_team_possession,away_home_3_team_shotsoff_against,away_home_3_team_shotsoff_for,away_home_3_team_shotson_against,away_home_3_team_shotson_for,away_home_6_team_corners_against,away_home_6_team_corners_for,away_home_6_team_goals_against,away_home_6_team_goals_for,away_home_6_team_possession,away_home_6_team_shotsoff_against,away_home_6_team_shotsoff_for,away_home_6_team_shotson_against,away_home_6_team_shotson_for,home_away_1_team_corners_against,home_away_1_team_corners_for,home_away_1_team_goals_against,home_away_1_team_goals_for,home_away_1_team_possession,home_away_1_team_shotsoff_against,home_away_1_team_shotsoff_for,home_away_1_team_shotson_against,home_away_1_team_shotson_for,home_away_3_team_corners_against,home_away_3_team_corners_for,home_away_3_team_goals_against,home_away_3_team_goals_for,home_away_3_team_possession,home_away_3_team_shotsoff_against,home_away_3_team_shotsoff_for,home_away_3_team_shotson_against,home_away_3_team_shotson_for,home_away_6_team_corners_against,home_away_6_team_corners_for,home_away_6_team_goals_against,home_away_6_team_goals_for,home_away_6_team_possession,home_away_6_team_shotsoff_against,home_away_6_team_shotsoff_for,home_away_6_team_shotson_against,home_away_6_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for
A,13,0,7,3,4,Aston Villa,4,3.6,2,3.7,3.3,2,45,26,-0.5,1.79,2.02,3.98,1.92,1.93,3.48,1.96,1.88,2.11,4.33,1.99,1.98,3.65,2.1,43,,8/8/2015,E0,1,0,,FALSE,TRUE,6,13,0,11,2,0,0,D,3,Bournemouth,3.3,3.3,2.1,TRUE,4,3.3,2.05,4.27,4.7,3.88,1.82,3.65,1.95,M Clattenburg,1,0,4.2,3.5,2,4,3.5,1.91,3,6,1,6,63,4,3,4,9,15,22,4,9,158.75,17,16,11,20,27,43,10,13,293.5,29,35,24,37,,,,,,,,,,2,7,1,0,61,2,10,4,7,11,14,3,4,178.25,8,21,11,16,26,25,8,9,340.5,12,40,24,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,16,0,18,10,3,Swansea,11,5,1.36,9,4.75,1.4,45,27,-1.5,1.99,1.8,9.57,1.73,2.16,4.66,1.37,2.07,1.88,11.26,1.8,2.24,5,1.43,43,,8/8/2015,E0,2,2,,TRUE,TRUE,4,15,1,11,3,1,2,H,1,Chelsea,8.3,4.8,1.33,TRUE,10,4.5,1.4,10.39,10.88,5.04,1.37,4.92,1.39,M Oliver,1,0,9.5,5,1.4,10,4,1.4,3,7,0,1,47,1,2,3,9,10,22,4,3,127.5,8,11,10,30,26,38,7,8,278.5,15,31,29,52,6,8,6,5,100.5,16,15,10,16,7,11,4,2,51.5,6,3,11,7,15,20,5,5,150,11,14,23,15,37,32,8,10,306.5,30,23,40,31,4,3,0,3,61,5,3,7,3,12,11,3,4,161.75,14,14,16,9,28,27,8,6,337.25,23,32,30,40,6,8,6,5,99.5,16,15,10,16,3,11,1,3,64.5,6,7,9,12,13,20,2,6,181.75,19,18,18,24,22,41,4,10,328.75,35,37,31,48
D,13,0,11,5,2,Watford,5.5,3.9,1.7,5,3.5,1.7,45,26,-1,1.96,1.84,5.25,1.71,2.18,3.76,1.69,2.03,1.93,5.77,1.76,2.28,4,1.75,44,,8/8/2015,E0,2,2,,TRUE,TRUE,8,7,0,10,5,1,0,A,1,Everton,4.7,3.6,1.7,TRUE,5,3.8,1.75,5.62,5.44,3.76,1.75,3.95,1.7,M Jones,1,2,5.4,3.9,1.73,5,3.5,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,2,1,57,9,5,8,7,17,15,5,5,148.5,14,14,20,13,35,29,7,10,313.5,21,37,35,28,,,,,,,,,,5,3,1,0,39.75,4,9,10,3,13,25,3,3,150.25,13,18,26,22,33,37,3,9,313.5,28,33,44,46
H,17,0,10,5,4,Sunderland,4.33,3.5,1.95,3.75,3.3,2,45,26,-0.5,1.67,2.18,4.06,1.9,1.95,3.37,1.96,1.73,2.27,4.52,1.96,2,3.5,2.03,43,,8/8/2015,E0,2,4,,TRUE,TRUE,6,13,0,19,8,0,3,H,2,Leicester,3.6,3.3,2,TRUE,4.2,3.4,2,4.34,5.1,3.74,1.79,3.48,1.99,L Mason,2,1,4.33,3.4,2,2.7,3.1,2,3,11,1,3,35.5,6,7,9,12,6,31,3,3,90.5,13,26,17,43,19,58,4,8,197,26,49,29,76,18,14,0,0,111.25,8,13,12,13,9,8,0,0,54.5,5,4,4,7,14,16,5,3,151.75,10,14,15,16,25,37,9,5,313.5,21,34,26,36,9,8,0,0,45.5,5,4,4,7,19,18,4,3,145.5833333,11,6,12,22,33,36,11,10,241.5833333,26,27,26,42,18,14,0,0,88.75,8,13,12,13,6,5,1,5,43.75,8,9,6,3,20,11,4,8,115.25,19,18,16,8,36,34,5,16,256.75,37,46,36,26
H,12,0,9,4,3,Tottenham,6,4,1.65,5.5,4,1.65,42,26,-1,2.01,1.79,5.65,1.78,2.09,3.9,1.63,2.13,1.86,6.5,1.82,2.2,4.2,1.71,40,,8/8/2015,E0,0,1,,TRUE,FALSE,1,12,0,9,1,0,1,H,2,Man United,5.1,3.6,1.65,TRUE,5.5,4,1.67,5.9,6.04,4.07,1.64,4.09,1.65,J Moss,0,0,5.75,4,1.67,6,3.6,1.62,5,3,1,0,60.25,4,9,10,3,16,13,5,3,178.5,11,15,23,21,24,30,7,8,343.75,23,30,33,36,8,7,1,3,89.75,5,9,9,9,8,6,0,2,58,8,7,4,2,21,23,2,2,171,20,25,16,17,38,40,10,12,366.75,30,45,29,40,1,8,0,2,62,3,5,4,8,14,22,2,6,190.5,12,10,23,18,25,31,6,8,388,27,19,36,26,8,7,1,3,110.25,5,9,9,9,5,5,0,2,60.25,2,6,4,7,13,15,3,7,192,8,13,11,28,18,41,4,16,392,14,37,17,49
A,20,0,11,7,0,Crystal Palace,3,3.3,2.55,2.7,3.2,2.6,45,27,0,1.67,2.18,2.92,2.08,1.78,3.21,2.53,1.75,2.25,3.11,2.17,1.83,3.42,2.63,43,,8/8/2015,E0,3,1,,TRUE,TRUE,1,14,0,17,6,1,0,A,1,Norwich,2.85,3.2,2.4,TRUE,2.9,3.2,2.62,3.08,3.14,3.39,2.46,3.35,2.52,S Hooper,2,1,3,3.25,2.6,2.88,3.1,2.6,5,4,4,1,35.25,7,8,5,8,15,14,8,4,120,10,23,17,19,28,43,13,7,234.25,22,52,31,37,,,,,,,,,,3,7,0,1,53,1,2,3,9,18,14,4,3,131.75,17,10,17,18,40,31,8,8,275.5,36,29,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,9,0,8,4,3,West Ham,12,6,1.29,10.5,5.75,1.28,45,27,-1.5,2.22,1.64,10.75,1.96,1.89,5.53,1.29,2.3,1.71,12,2.06,1.96,6.16,1.33,39,,9/8/2015,E0,2,0,,TRUE,TRUE,5,12,0,22,6,1,0,A,1,Arsenal,8.3,4.8,1.33,TRUE,12,5.5,1.29,12,15,6.75,1.24,5.75,1.31,M Atkinson,1,0,12,5.75,1.3,11,5,1.3,7,5,3,0,31.5,4,6,4,5,14,12,5,2,132.75,9,24,10,24,29,26,6,6,253.5,20,45,23,50,17,19,4,5,124.75,12,19,21,30,4,5,4,3,46.75,6,2,4,5,16,20,8,5,156.4166667,19,11,17,18,33,43,9,8,308.1666667,35,28,35,47,9,0,0,1,74.25,6,1,16,0,20,11,1,5,178.5,12,10,34,13,35,21,7,7,369.5,30,23,59,29,17,19,4,5,175.25,12,19,21,30,8,7,0,1,65.75,7,7,8,10,15,19,3,5,190,17,23,20,36,20,36,4,5,387.25,26,44,32,77
D,12,0,15,5,4,Southampton,2.7,3.3,2.88,2.75,3.1,2.8,45,27,0,1.7,2.14,2.63,1.87,1.98,3.23,2.79,1.8,2.23,2.76,1.92,2.06,3.47,2.88,43,,9/8/2015,E0,2,2,,TRUE,TRUE,6,9,0,9,4,1,1,D,2,Newcastle,2.5,3.3,2.65,TRUE,2.6,3.3,2.88,2.69,2.55,3.28,3.09,3.33,2.88,C Pawson,1,1,2.7,3.25,2.88,2.7,3.1,2.7,2,5,0,0,49.25,8,6,7,6,12,19,2,4,133.75,22,17,20,17,26,26,4,10,308.5,34,32,36,30,11,20,4,7,141.5,14,15,10,11,4,6,0,3,58.25,4,12,3,10,16,21,4,9,149,10,21,12,28,29,41,7,14,300.5,27,39,27,45,5,11,0,0,35,3,4,3,16,21,18,1,4,125.75,11,14,22,28,38,42,1,10,261,31,35,35,54,11,20,4,7,158.5,14,15,10,11,9,0,0,1,25.75,6,1,16,0,18,8,2,5,122.5,17,14,22,8,29,28,9,9,270,28,30,35,21
A,16,0,8,3,4,Liverpool,2.3,3.4,3.4,2.3,3.4,3.2,45,26,0.25,1.75,2.06,2.24,1.91,1.95,3.33,3.33,1.82,2.15,2.35,1.96,2,3.51,3.51,43,,9/8/2015,E0,1,0,,FALSE,TRUE,3,9,0,7,1,0,0,D,2,Stoke,2.3,3.3,2.9,TRUE,2.3,3.3,3.4,2.25,2.09,3.51,3.89,3.46,3.48,A Taylor,1,0,2.3,3.4,3.4,2.3,3.1,3.3,8,7,0,1,34.25,7,7,8,10,22,13,2,7,142.5,16,13,24,20,37,28,3,9,333,37,22,54,33,19,11,2,7,155.75,15,14,26,17,7,5,3,0,68.5,4,6,4,5,20,15,8,2,187.5,18,27,14,17,35,32,12,8,350.5833333,32,45,24,38,0,9,1,1,56.25,5,10,2,10,9,20,3,3,150.25,16,14,14,26,21,39,5,8,307,31,30,30,49,19,11,2,7,144.25,15,14,26,17,5,6,1,0,59.5,7,6,8,7,19,12,3,6,151.25,16,12,24,17,40,29,6,11,315.25,29,31,44,46
A,9,0,19,7,1,Man City,1.67,4,5.75,1.65,4,4.75,41,26,1,2.04,1.77,1.66,2.14,1.74,3.85,5.46,2.15,1.84,1.72,2.24,1.78,4.1,6.5,40,,10/8/2015,E0,3,0,,TRUE,TRUE,6,12,0,9,2,2,0,A,4,West Brom,1.65,3.6,5.1,TRUE,1.67,3.75,5.5,1.68,1.61,4.08,6.46,3.98,5.75,M Dean,1,0,1.7,4,5.5,1.7,3.5,5.5,9,5,1,4,47.75,8,3,15,7,20,17,4,5,160.75,22,18,36,15,40,42,12,7,326.75,36,33,67,37,14,25,6,4,204.25,10,28,13,34,3,6,1,6,59.5,1,7,4,11,9,31,3,9,188.5,6,25,10,33,18,51,4,20,358,20,46,29,58,3,8,0,2,39.75,2,4,4,15,15,16,2,2,125,12,15,19,31,24,32,4,7,230.75,27,39,30,57,14,25,6,4,95.75,10,28,13,34,4,6,3,2,49.25,4,4,5,3,16,18,6,5,125.25,14,15,17,11,30,29,9,8,214.25,32,27,48,23
