,index,AwayTeam,Date,Div,FTHG,FTR,HomeTeam,IsTraining,Referee,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,away_home_1_team_corners_against,away_home_1_team_corners_for,away_home_1_team_goals_against,away_home_1_team_goals_for,away_home_1_team_possession,away_home_1_team_shotsoff_against,away_home_1_team_shotsoff_for,away_home_1_team_shotson_against,away_home_1_team_shotson_for,away_home_3_team_corners_against,away_home_3_team_corners_for,away_home_3_team_goals_against,away_home_3_team_goals_for,away_home_3_team_possession,away_home_3_team_shotsoff_against,away_home_3_team_shotsoff_for,away_home_3_team_shotson_against,away_home_3_team_shotson_for,away_home_6_team_corners_against,away_home_6_team_corners_for,away_home_6_team_goals_against,away_home_6_team_goals_for,away_home_6_team_possession,away_home_6_team_shotsoff_against,away_home_6_team_shotsoff_for,away_home_6_team_shotson_against,away_home_6_team_shotson_for,home_away_1_team_corners_against,home_away_1_team_corners_for,home_away_1_team_goals_against,home_away_1_team_goals_for,home_away_1_team_possession,home_away_1_team_shotsoff_against,home_away_1_team_shotsoff_for,home_away_1_team_shotson_against,home_away_1_team_shotson_for,home_away_3_team_corners_against,home_away_3_team_corners_for,home_away_3_team_goals_against,home_away_3_team_goals_for,home_away_3_team_possession,home_away_3_team_shotsoff_against,home_away_3_team_shotsoff_for,home_away_3_team_shotson_against,home_away_3_team_shotson_for,home_away_6_team_corners_against,home_away_6_team_corners_for,home_away_6_team_goals_against,home_away_6_team_goals_for,home_away_6_team_possession,home_away_6_team_shotsoff_against,home_away_6_team_shotsoff_for,home_away_6_team_shotson_against,home_away_6_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for
0,0,Aston Villa,2015-08-08,E0,0.0,A,Bournemouth,True,M Clattenburg,3.0,6.0,1.0,6.0,63.0,4.0,3.0,4.0,9.0,15.0,22.0,4.0,9.0,158.75,17.0,16.0,11.0,20.0,27.0,43.0,10.0,13.0,293.5,29.0,35.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,61.0,2.0,10.0,4.0,7.0,11.0,14.0,3.0,4.0,178.25,8.0,21.0,11.0,16.0,26.0,25.0,8.0,9.0,340.5,12.0,40.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Swansea,2015-08-08,E0,2.0,D,Chelsea,True,M Oliver,3.0,7.0,0.0,1.0,47.0,1.0,2.0,3.0,9.0,10.0,22.0,4.0,3.0,127.5,8.0,11.0,10.0,30.0,26.0,38.0,7.0,8.0,278.5,15.0,31.0,29.0,52.0,6.0,8.0,6.0,5.0,100.5,16.0,15.0,10.0,16.0,7.0,11.0,4.0,2.0,51.5,6.0,3.0,11.0,7.0,15.0,20.0,5.0,5.0,150.0,11.0,14.0,23.0,15.0,37.0,32.0,8.0,10.0,306.5,30.0,23.0,40.0,31.0,4.0,3.0,0.0,3.0,61.0,5.0,3.0,7.0,3.0,12.0,11.0,3.0,4.0,161.75,14.0,14.0,16.0,9.0,28.0,27.0,8.0,6.0,337.25,23.0,32.0,30.0,40.0,6.0,8.0,6.0,5.0,99.5,16.0,15.0,10.0,16.0,3.0,11.0,1.0,3.0,64.5,6.0,7.0,9.0,12.0,13.0,20.0,2.0,6.0,181.75,19.0,18.0,18.0,24.0,22.0,41.0,4.0,10.0,328.75,35.0,37.0,31.0,48.0
2,2,Watford,2015-08-08,E0,2.0,D,Everton,True,M Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,1.0,57.0,9.0,5.0,8.0,7.0,17.0,15.0,5.0,5.0,148.5,14.0,14.0,20.0,13.0,35.0,29.0,7.0,10.0,313.5,21.0,37.0,35.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,39.75,4.0,9.0,10.0,3.0,13.0,25.0,3.0,3.0,150.25,13.0,18.0,26.0,22.0,33.0,37.0,3.0,9.0,313.5,28.0,33.0,44.0,46.0
3,3,Sunderland,2015-08-08,E0,4.0,H,Leicester,True,L Mason,3.0,11.0,1.0,3.0,35.5,6.0,7.0,9.0,12.0,6.0,31.0,3.0,3.0,90.5,13.0,26.0,17.0,43.0,19.0,58.0,4.0,8.0,197.0,26.0,49.0,29.0,76.0,18.0,14.0,0.0,0.0,111.25,8.0,13.0,12.0,13.0,9.0,8.0,0.0,0.0,54.5,5.0,4.0,4.0,7.0,14.0,16.0,5.0,3.0,151.75,10.0,14.0,15.0,16.0,25.0,37.0,9.0,5.0,313.5,21.0,34.0,26.0,36.0,9.0,8.0,0.0,0.0,45.5,5.0,4.0,4.0,7.0,19.0,18.0,4.0,3.0,145.58333333333334,11.0,6.0,12.0,22.0,33.0,36.0,11.0,10.0,241.5833333333333,26.0,27.0,26.0,42.0,18.0,14.0,0.0,0.0,88.75,8.0,13.0,12.0,13.0,6.0,5.0,1.0,5.0,43.75,8.0,9.0,6.0,3.0,20.0,11.0,4.0,8.0,115.25,19.0,18.0,16.0,8.0,36.0,34.0,5.0,16.0,256.75,37.0,46.0,36.0,26.0
4,4,Tottenham,2015-08-08,E0,1.0,H,Man United,True,J Moss,5.0,3.0,1.0,0.0,60.25,4.0,9.0,10.0,3.0,16.0,13.0,5.0,3.0,178.5,11.0,15.0,23.0,21.0,24.0,30.0,7.0,8.0,343.75,23.0,30.0,33.0,36.0,8.0,7.0,1.0,3.0,89.75,5.0,9.0,9.0,9.0,8.0,6.0,0.0,2.0,58.0,8.0,7.0,4.0,2.0,21.0,23.0,2.0,2.0,171.0,20.0,25.0,16.0,17.0,38.0,40.0,10.0,12.0,366.75,30.0,45.0,29.0,40.0,1.0,8.0,0.0,2.0,62.0,3.0,5.0,4.0,8.0,14.0,22.0,2.0,6.0,190.5,12.0,10.0,23.0,18.0,25.0,31.0,6.0,8.0,388.0,27.0,19.0,36.0,26.0,8.0,7.0,1.0,3.0,110.25,5.0,9.0,9.0,9.0,5.0,5.0,0.0,2.0,60.25,2.0,6.0,4.0,7.0,13.0,15.0,3.0,7.0,192.0,8.0,13.0,11.0,28.0,18.0,41.0,4.0,16.0,392.0,14.0,37.0,17.0,49.0
5,5,Crystal Palace,2015-08-08,E0,1.0,A,Norwich,True,S Hooper,5.0,4.0,4.0,1.0,35.25,7.0,8.0,5.0,8.0,15.0,14.0,8.0,4.0,120.0,10.0,23.0,17.0,19.0,28.0,43.0,13.0,7.0,234.25,22.0,52.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,1.0,53.0,1.0,2.0,3.0,9.0,18.0,14.0,4.0,3.0,131.75,17.0,10.0,17.0,18.0,40.0,31.0,8.0,8.0,275.5,36.0,29.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,West Ham,2015-09-08,E0,0.0,A,Arsenal,True,M Atkinson,7.0,5.0,3.0,0.0,31.5,4.0,6.0,4.0,5.0,14.0,12.0,5.0,2.0,132.75,9.0,24.0,10.0,24.0,29.0,26.0,6.0,6.0,253.5,20.0,45.0,23.0,50.0,17.0,19.0,4.0,5.0,124.75,12.0,19.0,21.0,30.0,4.0,5.0,4.0,3.0,46.75,6.0,2.0,4.0,5.0,16.0,20.0,8.0,5.0,156.41666666666669,19.0,11.0,17.0,18.0,33.0,43.0,9.0,8.0,308.1666666666667,35.0,28.0,35.0,47.0,9.0,0.0,0.0,1.0,74.25,6.0,1.0,16.0,0.0,20.0,11.0,1.0,5.0,178.5,12.0,10.0,34.0,13.0,35.0,21.0,7.0,7.0,369.5,30.0,23.0,59.0,29.0,17.0,19.0,4.0,5.0,175.25,12.0,19.0,21.0,30.0,8.0,7.0,0.0,1.0,65.75,7.0,7.0,8.0,10.0,15.0,19.0,3.0,5.0,190.0,17.0,23.0,20.0,36.0,20.0,36.0,4.0,5.0,387.25,26.0,44.0,32.0,77.0
7,7,Southampton,2015-09-08,E0,2.0,D,Newcastle,True,C Pawson,2.0,5.0,0.0,0.0,49.25,8.0,6.0,7.0,6.0,12.0,19.0,2.0,4.0,133.75,22.0,17.0,20.0,17.0,26.0,26.0,4.0,10.0,308.5,34.0,32.0,36.0,30.0,11.0,20.0,4.0,7.0,141.5,14.0,15.0,10.0,11.0,4.0,6.0,0.0,3.0,58.25,4.0,12.0,3.0,10.0,16.0,21.0,4.0,9.0,149.0,10.0,21.0,12.0,28.0,29.0,41.0,7.0,14.0,300.5,27.0,39.0,27.0,45.0,5.0,11.0,0.0,0.0,35.0,3.0,4.0,3.0,16.0,21.0,18.0,1.0,4.0,125.75,11.0,14.0,22.0,28.0,38.0,42.0,1.0,10.0,261.0,31.0,35.0,35.0,54.0,11.0,20.0,4.0,7.0,158.5,14.0,15.0,10.0,11.0,9.0,0.0,0.0,1.0,25.75,6.0,1.0,16.0,0.0,18.0,8.0,2.0,5.0,122.5,17.0,14.0,22.0,8.0,29.0,28.0,9.0,9.0,270.0,28.0,30.0,35.0,21.0
8,8,Liverpool,2015-09-08,E0,0.0,A,Stoke,True,A Taylor,8.0,7.0,0.0,1.0,34.25,7.0,7.0,8.0,10.0,22.0,13.0,2.0,7.0,142.5,16.0,13.0,24.0,20.0,37.0,28.0,3.0,9.0,333.0,37.0,22.0,54.0,33.0,19.0,11.0,2.0,7.0,155.75,15.0,14.0,26.0,17.0,7.0,5.0,3.0,0.0,68.5,4.0,6.0,4.0,5.0,20.0,15.0,8.0,2.0,187.5,18.0,27.0,14.0,17.0,35.0,32.0,12.0,8.0,350.58333333333326,32.0,45.0,24.0,38.0,0.0,9.0,1.0,1.0,56.25,5.0,10.0,2.0,10.0,9.0,20.0,3.0,3.0,150.25,16.0,14.0,14.0,26.0,21.0,39.0,5.0,8.0,307.0,31.0,30.0,30.0,49.0,19.0,11.0,2.0,7.0,144.25,15.0,14.0,26.0,17.0,5.0,6.0,1.0,0.0,59.5,7.0,6.0,8.0,7.0,19.0,12.0,3.0,6.0,151.25,16.0,12.0,24.0,17.0,40.0,29.0,6.0,11.0,315.25,29.0,31.0,44.0,46.0
9,9,Man City,2015-10-08,E0,0.0,A,West Brom,True,M Dean,9.0,5.0,1.0,4.0,47.75,8.0,3.0,15.0,7.0,20.0,17.0,4.0,5.0,160.75,22.0,18.0,36.0,15.0,40.0,42.0,12.0,7.0,326.75,36.0,33.0,67.0,37.0,14.0,25.0,6.0,4.0,204.25,10.0,28.0,13.0,34.0,3.0,6.0,1.0,6.0,59.5,1.0,7.0,4.0,11.0,9.0,31.0,3.0,9.0,188.5,6.0,25.0,10.0,33.0,18.0,51.0,4.0,20.0,358.0,20.0,46.0,29.0,58.0,3.0,8.0,0.0,2.0,39.75,2.0,4.0,4.0,15.0,15.0,16.0,2.0,2.0,125.0,12.0,15.0,19.0,31.0,24.0,32.0,4.0,7.0,230.75,27.0,39.0,30.0,57.0,14.0,25.0,6.0,4.0,95.75,10.0,28.0,13.0,34.0,4.0,6.0,3.0,2.0,49.25,4.0,4.0,5.0,3.0,16.0,18.0,6.0,5.0,125.25,14.0,15.0,17.0,11.0,30.0,29.0,9.0,8.0,214.25,32.0,27.0,48.0,23.0
