,B365H,B365D,B365A,FTR
2,2.5,3.4,3.0,A
6,2.37,3.3,3.3,D
9,1.85,3.5,5.0,D
12,1.25,6.5,15.0,A
13,1.83,3.6,5.0,A
15,1.62,4.0,6.5,D
16,6.0,4.2,1.62,D
20,2.0,3.6,4.0,A
21,2.63,3.2,3.0,A
25,4.5,3.8,1.85,H
28,2.1,3.6,3.75,A
29,1.33,5.75,10.0,D
31,1.95,3.5,4.33,A
32,3.9,3.4,2.1,D
35,1.91,3.4,4.0,D
38,1.25,6.5,15.0,D
39,2.4,3.1,3.5,D
45,1.65,4.0,6.0,A
46,7.5,4.5,1.5,D
48,2.4,3.25,3.3,A
52,3.5,3.4,2.25,D
53,1.29,6.0,13.0,D
55,1.22,7.0,15.0,D
57,2.38,3.25,3.4,D
58,1.8,4.0,4.5,D
60,2.15,3.25,3.9,D
66,2.4,3.3,3.25,A
70,2.8,3.25,2.5,D
71,2.75,3.3,2.5,A
75,2.15,3.2,3.5,D
78,1.67,3.6,5.75,A
79,5.0,3.8,1.67,D
80,2.75,3.25,2.8,D
81,9.0,5.0,1.4,H
82,2.8,3.25,2.8,D
86,5.25,4.33,1.65,H
87,3.25,3.3,2.4,D
88,1.91,3.6,4.5,D
89,2.05,3.4,4.2,D
90,1.83,3.5,5.25,A
92,11.0,5.0,1.36,H
96,2.14,3.5,3.6,A
97,2.79,3.25,2.75,A
102,2.39,3.29,3.29,D
105,2.04,3.6,3.79,A
107,3.29,3.2,2.45,D
111,2.0,3.5,4.2,A
112,1.66,3.75,6.5,A
113,2.7,3.29,2.87,D
114,2.39,3.2,3.39,A
123,2.39,3.25,3.29,D
129,2.39,3.2,3.39,D
130,2.7,3.39,2.75,D
132,2.14,3.6,3.5,D
134,2.2,3.5,3.5,A
135,2.79,3.25,2.79,D
136,1.25,6.0,16.0,D
140,2.7,3.1,3.0,D
141,5.0,3.89,1.75,H
143,2.37,3.1,3.5,D
145,2.0,3.39,4.33,A
150,2.5,3.39,3.0,A
156,5.0,4.0,1.72,D
157,2.5,3.2,3.2,D
158,2.89,3.25,2.39,D
161,2.04,3.5,4.0,D
163,2.62,3.29,2.89,A
166,7.5,4.5,1.5,H
167,1.3,6.0,11.0,D
169,4.0,3.75,1.95,D
173,1.22,7.0,15.0,D
175,2.39,3.29,3.25,A
176,2.1,3.39,3.89,A
179,5.25,4.2,1.66,D
181,2.62,3.0,3.2,D
183,1.89,3.6,4.5,A
185,2.29,3.29,3.5,A
186,1.8,3.75,5.0,A
190,2.54,3.6,2.79,D
193,6.0,3.89,1.66,D
194,4.5,3.6,1.9,D
196,1.61,3.89,6.5,D
198,3.29,3.2,2.45,D
199,2.1,3.39,3.89,A
200,2.79,3.29,2.75,D
202,2.5,3.2,3.2,D
204,1.25,6.5,15.0,D
207,2.54,3.2,3.1,D
212,2.37,3.1,3.5,D
214,1.36,5.5,9.0,D
215,2.14,3.2,4.0,D
216,1.66,3.79,6.0,A
217,11.0,6.5,1.28,D
218,5.0,4.0,1.72,D
219,2.37,3.2,3.39,D
223,2.29,3.29,3.5,A
225,1.9,3.39,4.0,A
228,2.6,3.39,2.6,D
229,1.25,6.0,10.0,D
230,1.3,5.75,12.0,D
232,2.62,3.1,3.1,A
233,1.95,3.39,4.5,D
235,2.5,3.39,3.0,D
237,4.75,4.2,1.75,H
238,3.1,3.75,2.29,H
243,2.14,3.2,4.0,D
247,2.0,3.6,4.0,D
248,5.75,4.09,1.64,D
249,12.0,5.75,1.3,H
251,7.0,4.59,1.5,H
252,3.1,3.25,2.54,D
253,1.28,6.5,11.0,A
254,3.0,3.2,2.62,H
256,2.2,3.2,3.89,D
257,1.75,3.5,6.0,D
258,2.25,3.5,3.39,D
263,13.0,6.0,1.28,D
264,1.8,3.6,5.25,D
266,2.54,3.2,3.1,A
267,2.04,3.39,4.2,D
268,2.1,3.75,3.6,D
269,6.25,4.0,1.61,H
272,2.2,3.2,3.39,D
276,3.25,3.2,2.25,H
277,5.5,3.75,1.61,H
280,2.1,3.5,3.79,D
282,2.89,3.1,2.79,D
283,1.72,3.89,5.25,D
286,1.95,3.29,4.75,A
291,1.85,3.75,4.5,D
293,1.75,3.75,5.25,D
297,4.2,3.79,1.9,H
302,2.54,3.1,3.2,D
306,2.29,3.2,3.6,A
313,2.5,3.29,3.1,A
314,2.7,3.2,2.62,A
319,2.29,3.29,3.1,D
320,2.5,3.0,3.1,A
323,2.29,3.29,3.1,A
324,2.5,3.39,3.0,D
325,1.85,3.5,5.0,D
326,4.2,3.75,1.9,D
327,1.95,3.6,4.2,A
328,1.89,3.79,4.2,A
330,2.39,3.2,3.39,A
331,2.37,3.2,3.39,D
333,1.28,6.0,12.0,D
339,2.54,3.25,3.1,D
340,2.62,3.6,2.7,A
341,1.18,8.0,19.0,A
342,3.29,3.6,2.25,H
343,2.0,3.6,4.0,D
344,6.5,4.33,1.55,D
