FTR,HomeTeam,AwayTeam,home_HomeTeamGoals,home_AwayTeamGoals,home_AwayTeamCorners,home_HomeTeamCorners,home_HomeTeamShotsOn,home_AwayTeamShotsOn,home_HomeTeamShotsOff,home_AwayTeamShotsOff,home_HomeTeamCrosses,home_AwayTeamCrosses,home_HomeTeamGoalsBefore80min,home_AwayTeamGoalsBefore80min,home_MatchGoalsBefore80min,home_home_team_possession_avg,home_away_team_possession_avg,away_HomeTeamGoals,away_AwayTeamGoals,away_AwayTeamCorners,away_HomeTeamCorners,away_HomeTeamShotsOn,away_AwayTeamShotsOn,away_HomeTeamShotsOff,away_AwayTeamShotsOff,away_HomeTeamCrosses,away_AwayTeamCrosses,away_HomeTeamGoalsBefore80min,away_AwayTeamGoalsBefore80min,away_MatchGoalsBefore80min,away_home_team_possession_avg,away_away_team_possession_avg,direct_HomeTeamGoals,direct_AwayTeamGoals,direct_AwayTeamCorners,direct_HomeTeamCorners,direct_HomeTeamShotsOn,direct_AwayTeamShotsOn,direct_HomeTeamShotsOff,direct_AwayTeamShotsOff,direct_HomeTeamCrosses,direct_AwayTeamCrosses,direct_HomeTeamGoalsBefore80min,direct_AwayTeamGoalsBefore80min,direct_MatchGoalsBefore80min,direct_home_team_possession_avg,direct_away_team_possession_avg
H,Arsenal,Crystal Palace,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A,Burnley,Chelsea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D,Leicester,Everton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
H,Liverpool,Southampton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A,Manchester United,Swansea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A,Newcastle United,Manchester City,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D,Queens Park Rangers,Hull,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A,Stoke,Aston Villa,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D,West Bromwich Albion,Sunderland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D,West Ham,Tottenham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
