FTR,date,hometeamfullname,awayteamfullname,last_matches_count,avg,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,avg_24,avg_25,avg_26,avg_27,avg_28,avg_29,avg_30,avg_31,avg_32,avg_33,avg_34,avg_35,avg_36,avg_37,avg_38,avg_39,avg_40,avg_41,avg_42,avg_43,avg_44,avg_45,avg_46,avg_47,avg_48,avg_49,avg_50,avg_51,avg_52,avg_53,avg_54,avg_55,avg_56,avg_57,avg_58,avg_59,avg_60,avg_61,avg_62,avg_63,avg_64,avg_65,avg_66,avg_67,avg_68,avg_69,avg_70,avg_71,avg_72,avg_73,avg_74,avg_75,avg_76,avg_77,avg_78,avg_79,avg_80,avg_81,avg_82,avg_83,avg_84,avg_85,avg_86,avg_87,avg_88,avg_89
H,00:00.0,Everton,Manchester United,6,2,1,8,13,8,7,8,6,16,18,1,1,1,43,57,2.5,1,7,8.5,8,4,5.5,6,15.5,16,1,1,1,47.5,52,2.666666667,1,6.666666667,7,8,3,4.666666667,6,15.33333333,15.33333333,1,1,1,47.5,52,2.5,1.25,6,6.75,7.75,3,5,5.5,16.75,14.75,1,0.75,1,51.66666667,47.66666667,2.4,1.4,5.6,6.6,7.6,3,5.2,5.2,17.6,14.4,1,0.6,1,51.66666667,47.66666667,2.333333333,1.166666667,5.166666667,6.166666667,7.333333333,3.166666667,5.666666667,5.333333333,17.66666667,13.83333333,1,0.5,1,51.66666667,47.66666667
A,00:00.0,Tottenham,Wolverhampton Wanderers,6,2,3,5,4,10,1,3,8,25,10,1,1,1,64,35,2,2,5.5,3,5.5,6.5,1.5,7,15.5,16.5,1,1,1,64,35,2,1.666666667,5.666666667,2.666666667,4,8.333333333,1,6.666666667,12.33333333,18.66666667,1,1,1,49.5,50,2,1.5,5,3.75,4.25,6.75,2.25,7.5,12.25,15.25,1,1,1,49.5,50,2,1.4,4.6,4.4,4.4,5.8,3,8,12.2,13.2,1,1,1,51,48.33333333,1.666666667,1.333333333,4.333333333,4.333333333,4.5,6,4,7.5,11.16666667,14.33333333,0.833333333,1,1,51,48.33333333
H,00:00.0,Everton,Manchester United,6,3,1,6,4,8,1,3,6,15,14,1,1,1,52,47,3,1,6,4,8,1,3,6,15,14,1,1,1,52,47,2.666666667,1.333333333,5.333333333,4.666666667,7.666666667,1.666666667,4,5.333333333,17,13.66666667,1,0.666666667,1,56,43,2.5,1.5,5,5,7.5,2,4.5,5,18,13.5,1,0.5,1,56,43,2.4,1.2,4.6,4.8,7.2,2.4,5.2,5.2,18,13,1,0.4,1,56,43,2.333333333,1,4.333333333,4.666666667,7,2.666666667,5.666666667,5.333333333,18,12.66666667,1,0.333333333,1,58.66666667,40.33333333
A,00:00.0,Tottenham,Wolverhampton Wanderers,6,2,1,6,2,1,12,0,6,6,23,1,1,1,,,2,1,6,2,1,12,0,6,6,23,1,1,1,35,65,2,1,5,3.666666667,2.333333333,8.666666667,2,7.333333333,8,17,1,1,1,35,65,2,1,4.5,4.5,3,7,3,8,9,14,1,1,1,44.5,55,1.6,1,4.2,4.4,3.4,7,4.2,7.4,8.4,15.2,0.8,1,1,44.5,55,1.333333333,1,4,4.333333333,3.666666667,7,5,7,8,16,0.666666667,1,1,38.33333333,61
H,30:00.0,Watford,Liverpool,6,3,0,5,3,4,3,6,4,11,27,1,0,1,,,2.5,1.5,4.5,3.5,3.5,3,4.5,3,10,17.5,1,0.5,1,,,2.333333333,2,4.333333333,3.666666667,3.333333333,3,4,2.666666667,9.666666667,14.33333333,1,0.666666667,1,40,59,2,1.5,4,3.5,3.75,4.25,5.25,4,12.5,12.25,1,0.5,1,42,57,1.8,1.2,3.8,3.4,4,5,6,4.8,14.2,11,1,0.4,1,42,57,1.833333333,1.166666667,4.333333333,3.5,4,5.166666667,5.5,5.166666667,13,12.5,1,0.5,1,43,56
H,30:00.0,Watford,Liverpool,6,2,3,4,4,3,3,3,2,9,8,1,1,1,,,2,3,4,4,3,3,3,2,9,8,1,1,1,40,59,1.666666667,2,3.666666667,3.666666667,3.666666667,4.666666667,5,4,13,7.333333333,1,0.666666667,1,42,57,1.5,1.5,3.5,3.5,4,5.5,6,5,15,7,1,0.5,1,42,57,1.6,1.4,4.2,3.6,4,5.6,5.4,5.4,13.4,9.6,1,0.6,1,43,56,1.666666667,1.333333333,4.666666667,3.666666667,4,5.666666667,5,5.666666667,12.33333333,11.33333333,1,0.666666667,1,43,56
D,00:00.0,Bournemouth,Chelsea,6,2,2,14,4,3,11,2,9,13,39,1,1,1,,,2,1.5,11,2.5,5,8.5,3,10,10.5,28.5,1,1,1,51,48,2,1.333333333,10,2,5.666666667,7.666666667,3.333333333,10.33333333,9.666666667,25,1,1,1,51,48,2,1.5,9.5,2.75,5.25,8.75,4,10,9.5,23.5,1,1,1,51,48,2,1.6,9.2,3.2,5,9.4,4.4,9.8,9.4,22.6,1,1,1,41.5,58,1.666666667,1.833333333,8.5,3.5,4.666666667,9,4.833333333,9.333333333,10.83333333,20.83333333,0.833333333,1,1,46,53.33333333
D,00:00.0,Newcastle United,Burnley,6,0,0,7,11,9,2,10,3,13,7,0,0,0,51,48,0,0,9.5,9.5,8.5,4.5,8,8,14,7,0,0,0,51,48,0,0,10.33333333,9,8.333333333,5.333333333,7.333333333,9.666666667,14.33333333,7,0,0,0,46.5,52.5,0.25,0,10.25,7,6.5,6.5,6.75,9.25,14,12.25,0,0,0,46.5,52.5,0.4,0,10.2,5.8,5.4,7.2,6.4,9,13.8,15.4,0,0,0,41,58,0.333333333,0.5,9.333333333,5.5,5,7.5,5.833333333,8.166666667,12.83333333,14.83333333,0,0.166666667,0.166666667,41,58
D,00:00.0,Bournemouth,Chelsea,6,2,1,8,1,7,6,4,11,8,18,1,1,1,51,48,2,1,8,1,7,6,4,11,8,18,1,1,1,51,48,2,1.333333333,8,2.333333333,6,8,4.666666667,10.33333333,8.333333333,18.33333333,1,1,1,51,48,2,1.5,8,3,5.5,9,5,10,8.5,18.5,1,1,1,41.5,58,1.6,1.8,7.4,3.4,5,8.6,5.4,9.4,10.4,17.2,0.8,1,1,46,53.33333333,1.333333333,2,7,3.666666667,4.666666667,8.333333333,5.666666667,9,11.66666667,16.33333333,0.666666667,1,1,46,53.33333333
D,00:00.0,Newcastle United,Burnley,6,0,0,12,8,8,7,6,13,15,7,0,0,0,,,0,0,12,8,8,7,6,13,15,7,0,0,0,42,57,0.333333333,0,11.33333333,5.666666667,5.666666667,8,5.666666667,11.33333333,14.33333333,14,0,0,0,42,57,0.5,0,11,4.5,4.5,8.5,5.5,10.5,14,17.5,0,0,0,36,63,0.4,0.6,9.8,4.4,4.2,8.6,5,9.2,12.8,16.4,0,0.2,0.2,36,63,0.333333333,1,9,4.333333333,4,8.666666667,4.666666667,8.333333333,12,15.66666667,0,0.333333333,0.333333333,33.66666667,65.33333333
