player0_1st Serve,player0_1st Serve Points Won,player0_1st Serve Return Points Won,player0_2nd Serve Points Won,player0_2nd Serve Return Points Won,player0_Aces,player0_Break Points Converted,player0_Break Points Faced,player0_Break Points Opportunities,player0_Break Points Saved,player0_Double Faults,player0_Return Games Played,player0_Return Games Won,player0_Return Points Won,player0_Service Games Played,player0_Service Games Won,player0_Total Points Won,player0_Total Service Points Won,player0_birthday,player0_height,player0_plays,player0_surface,player0_turned_pro,player0_weight,player0_points,player0_rank,player0_B365,player0_EX,player0_LB,player0_PS,player0_experience,player1_1st Serve,player1_1st Serve Points Won,player1_1st Serve Return Points Won,player1_2nd Serve Points Won,player1_2nd Serve Return Points Won,player1_Aces,player1_Break Points Converted,player1_Break Points Faced,player1_Break Points Opportunities,player1_Break Points Saved,player1_Double Faults,player1_Return Games Played,player1_Return Games Won,player1_Return Points Won,player1_Service Games Played,player1_Service Games Won,player1_Total Points Won,player1_Total Service Points Won,player1_birthday,player1_height,player1_plays,player1_surface,player1_turned_pro,player1_weight,player1_points,player1_rank,player1_B365,player1_EX,player1_LB,player1_PS,player1_experience,month,winner
0.62,0.66,0.27,0.49,0.51,117,0.45,223,143,0.66,69,312,0.21,0.37,316,0.76,0.49,0.6,28.413698630136988,193,"Right-Handed, Two-Handed Backhand",hard,2003,86,774,61,1.72,1.8,1.91,1.88,10,0.64,0.71,0.3,0.49,0.51,233,0.44,242,243,0.62,138,436,0.25,0.38,432,0.78,0.51,0.63,32.04931506849315,185,"Right-Handed, Two-Handed Backhand",hard,2000,79,1160.0,35.0,2.0,2.0,1.8,2.01,13,12,1
0.68,0.68,0.29,0.48,0.5,94,0.46,196,194,0.5700000000000001,66,354,0.25,0.38,362,0.77,0.5,0.62,32.46027397260274,185,"Left-Handed, Two-Handed Backhand",hard,2000,78,1090,39,1.28,1.33,1.33,1.35,13,0.6,0.71,0.28,0.47,0.46,36,0.41,38,32,0.61,15,62,0.21,0.35000000000000003,63,0.76,0.49,0.61,21.956164383561642,183,"Right-Handed, Two-Handed Backhand",hard,2010,82,425.0,136.0,3.5,3.2,3.25,3.47,3,12,1
0.53,0.73,0.31,0.51,0.53,154,0.36,150,218,0.54,79,304,0.26,0.4,315,0.78,0.51,0.63,25.27123287671233,198,"Right-Handed, Two-Handed Backhand",hard,2005,89,1130,37,1.36,1.4,1.44,1.39,8,0.63,0.71,0.29,0.54,0.48,227,0.38,192,208,0.61,56,394,0.2,0.37,396,0.81,0.5,0.64,27.33150684931507,188,"Right-Handed, Two-Handed Backhand",hard,2004,88,965.0,45.0,3.0,2.9,2.62,3.22,9,12,0
0.5700000000000001,0.8,0.28,0.5,0.48,516,0.4,217,262,0.62,175,522,0.2,0.36,530,0.84,0.52,0.67,26.24931506849315,198,"Right-Handed, Two-Handed Backhand",hard,2006,95,960,46,1.9,1.9,1.91,1.99,7,0.58,0.72,0.23,0.45,0.49,38,0.29,53,35,0.64,24,80,0.13,0.33,81,0.77,0.47,0.61,31.07123287671233,185,"Right-Handed, Two-Handed Backhand",hard,2000,82,1244.0,29.0,1.8,1.85,1.8,1.9,13,12,0
0.61,0.73,0.25,0.52,0.47,171,0.36,145,132,0.64,73,278,0.17,0.34,282,0.8200000000000001,0.5,0.65,22.64109589041096,191,"Right-Handed, One-Handed Backhand",hard,2008,80,1520,23,1.25,1.3,1.33,1.28,5,0.56,0.72,0.28,0.47,0.49,109,0.37,117,106,0.55,43,202,0.19,0.35000000000000003,198,0.73,0.48,0.61,26.753424657534246,191,"Right-Handed, Two-Handed Backhand",hard,2005,77,977.0,43.0,3.75,3.4,3.25,4.01,8,12,0
0.63,0.7000000000000001,0.28,0.46,0.51,178,0.37,214,207,0.56,110,358,0.22,0.37,362,0.74,0.49,0.61,26.115068493150684,188,"Right-Handed, Two-Handed Backhand",hard,2006,80,706,68,1.25,1.3,1.3,1.36,7,0.67,0.64,0.22,0.44,0.4,19,0.5,22,8,0.59,6,27,0.15,0.29,27,0.67,0.44,0.5700000000000001,26.92054794520548,183,"Right-Handed, Two-Handed Backhand",hard,2004,78,397.0,142.0,3.75,3.4,3.4,3.39,9,12,0
0.56,0.77,0.27,0.5,0.44,321,0.36,200,188,0.6900000000000001,125,401,0.17,0.34,397,0.84,0.5,0.65,32.3013698630137,188,"Left-Handed, One-Handed Backhand",hard,1997,88,1310,28,1.66,1.65,1.67,1.75,16,0.6,0.64,0.32,0.51,0.49,32,0.41,73,70,0.47,16,119,0.24,0.38,120,0.68,0.49,0.59,26.03287671232877,183,"Right-Handed, Two-Handed Backhand",hard,2006,72,721.0,67.0,2.1,2.2,2.1,2.18,7,12,0
0.58,0.77,0.25,0.51,0.49,167,0.33,134,125,0.72,89,246,0.17,0.35000000000000003,239,0.85,0.5,0.66,26.9013698630137,188,"Right-Handed, Two-Handed Backhand",hard,2005,75,1175,34,1.44,1.55,1.62,1.55,8,0.61,0.67,0.23,0.4,0.48,29,0.34,46,32,0.46,19,69,0.16,0.33,69,0.64,0.45,0.5700000000000001,25.523287671232875,180,"Left-Handed, Two-Handed Backhand",hard,2004,70,784.0,59.0,2.62,2.4,2.2,2.6,9,12,1
0.51,0.72,0.28,0.47,0.5,101,0.43,156,120,0.6,66,238,0.22,0.37,235,0.74,0.49,0.6,32.87123287671233,178,"Right-Handed, Two-Handed Backhand",hard,1998,77,780,60,1.28,1.33,1.29,1.36,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,17.736986301369864,196,"Right-Handed, Two-Handed Backhand",hard,2013,82,41.0,628.0,3.5,3.2,3.5,3.42,0,12,1
0.54,0.52,0.17,0.64,0.5,0,0.5,4,4,0.0,2,10,0.2,0.31,9,0.56,0.43,0.5700000000000001,26.21917808219178,193,"Right-Handed, One-Handed Backhand",hard,2006,100,307,172,2.75,2.5,2.75,2.94,7,0.6,0.72,0.29,0.52,0.46,174,0.41,157,148,0.6,66,294,0.21,0.36,300,0.79,0.5,0.64,21.665753424657535,185,"Right-Handed, Two-Handed Backhand",hard,2007,84,549.0,100.0,1.4,1.5,1.4,1.45,6,12,1
